teamname,kda,fstbloodpercentage,goldsPermin,lasthitPermin,damagetoheroPermin,wardsplacedpermin,wardskilledpermin,killsPergame,deathsPergame,assistsPergame,damagetoheropermatch,goldpermatch,lasthitpermatch,damagetakenpermatch,baronkillsPergame,dragonkillsPergame,towertakensPergame,towerdeathsPergame,wardsplacedPergame,wardskilledPergame,highestgoldpermin,dragonkillspercentage,baronkillspercentage,wardskilledrate,avgDuration,winrate,teamWinrate,bo3Rate,fsttowerpercentage,goldearnedLead,fstbloodwinPercentage,firsttowerwinPercentage,firstbaronwinPercentage,baronbenefitPerkill,order
RNG,5.5,58.6%,1899,34.1,1939,3.69,1.8,16.0,10.3,40.1724,62193.7,60917,1094.5,86409.7,1.0,2.8,7.8,3.6,118.241,56.931,2177.78,59.0%,69.8%,51.3%,32:03,0.916667,0.793103,0.416667,0.655172,6096.62,0.705882,0.842105,0.944444,3396.17,1
TES,4.9,66.7%,1924,34.2,2174,3.10,1.7,16.5,10.7,35.7917,63826.1,56495,1003.5,81678.2,0.8,2.2,7.6,3.6,90.9167,49.6667,2228.39,55.3%,66.7%,50.9%,29:21,0.727273,0.708333,0.181818,0.75,6273.96,0.75,0.722222,0.933333,4068.05,2
EDG,4.6,64.0%,1861,34.5,1975,3.21,1.7,14.4,10.4,33.76,64913.4,61169,1132.9,89958.6,0.8,3.0,7.1,4.0,105.56,57.32,2130.78,60.2%,57.6%,50.8%,32:51,0.818182,0.76,0.272727,0.72,5131.36,0.6875,0.833333,0.933333,4066.37,3
WE,4.5,45.8%,1883,34.0,1965,3.33,1.7,15.1,10.9,33.9583,59898.6,57383,1036.5,86496.1,0.8,2.6,7.2,4.2,101.375,51.7083,2194.41,58.9%,64.5%,49.6%,30:28,0.727273,0.666667,0.181818,0.541667,4956.75,0.636364,0.692308,1,4292.55,4
FPX,4.4,57.1%,1940,34.6,2183,3.30,1.5,16.1,11.8,35.7143,64525,57368,1021.3,89583.5,0.9,2.2,7.5,3.6,97.6786,43.1786,2210.83,52.5%,66.7%,43.5%,29:33,0.692308,0.714286,0.153846,0.678571,5586.29,0.75,0.789474,0.8,4605.62,5
SN,4.3,52.2%,1814,34.3,2096,3.71,1.7,13.6,10.1,29.8261,68605,59367,1122.4,91125.8,0.7,2.4,5.5,4.8,121.304,57,2192.85,50.5%,48.4%,50.5%,32:43,0.545455,0.565217,0.0909091,0.478261,2530.43,0.75,0.909091,0.714286,3577.07,6
LNG,3.7,44.0%,1776,33.7,1737,3.64,1.5,12.0,11.0,28.8,54040.7,55258,1048.3,86521.9,0.5,2.0,5.3,6.1,113.08,45.8,2109.71,44.6%,35.3%,45.4%,31:06,0.545455,0.48,0.272727,0.6,-990.04,0.454545,0.666667,1,5046.67,7
RA,3.6,56.0%,1849,35.1,2195,3.63,1.9,13.8,12.3,31.12,73338.1,61795,1174.0,95790,1.0,2.7,6.5,4.6,121.28,63.76,2186.51,52.8%,67.6%,53.3%,33:24,0.727273,0.64,0.272727,0.48,3491.6,0.785714,0.75,1,2822.84,8
IG,3.6,55.6%,1832,33.1,2131,3.23,1.6,14.6,13.0,32.7037,63169,54289,981.1,82858.1,0.8,2.7,5.8,5.0,95.8148,47.5926,2171.03,61.5%,65.6%,48.5%,29:38,0.5,0.555556,0.25,0.37037,1968.07,0.533333,0.7,0.875,3567.52,9
JDG,3.6,44.0%,1843,33.8,2147,3.49,1.6,14.7,13.6,34.08,68356.2,58692,1077.1,93491,0.7,2.4,6.3,5.0,111.2,51.48,2215.05,52.1%,48.6%,49.0%,31:49,0.666667,0.64,0.0833333,0.4,1754.16,0.727273,0.8,0.909091,2905.24,10
V5,3.0,48.3%,1766,32.7,1832,3.05,1.5,12.0,13.7,28.7241,55027.8,53069,982.6,84800.2,0.6,1.6,5.5,6.3,91.4828,44.1724,2142.61,36.9%,50.0%,43.8%,30:02,0.416667,0.413793,0.416667,0.586207,-2080.55,0.571429,0.588235,0.75,3078,11
BLG,2.9,48.3%,1794,33.4,2005,3.33,1.6,12.6,14.1,28.6207,65036.6,58214,1082.8,94822.7,0.8,2.4,5.9,6.3,108.034,51.2069,2078.41,50.7%,51.2%,46.2%,32:26,0.416667,0.448276,0.416667,0.482759,-863.31,0.5,0.642857,0.722222,2886.41,12
ES,2.5,63.3%,1715,32.7,1782,3.47,1.6,11.0,14.7,25.4667,53505,51480,980.7,84126.5,0.2,1.9,3.5,7.5,104.233,47.9667,2076.99,45.5%,15.4%,48.4%,30:00,0.153846,0.233333,0.307692,0.233333,-6079.17,0.315789,0.428571,1,2939.67,13
TT,2.2,34.6%,1735,33.4,1697,3.31,1.6,10.3,15.7,23.8077,54467.1,55679,1070.8,100493,0.6,2.1,4.2,7.5,106.346,50.1154,2128.25,44.6%,42.1%,48.0%,32:05,0.181818,0.269231,0.363636,0.538462,-5138.5,0.222222,0.5,0.666667,1450.94,14
OMG,2.1,46.2%,1698,32.5,1698,3.35,1.5,9.7,15.3,22.8077,51622.8,51612,986.6,89870.7,0.5,2.0,3.7,7.1,101.769,44.7692,2008.57,46.1%,42.4%,42.4%,30:23,0.181818,0.269231,0.363636,0.346154,-5927.15,0.333333,0.555556,0.777778,1630.36,15
LGD,2.0,34.8%,1696,32.8,1732,3.14,1.5,8.5,14.0,19.1739,50842.9,49776,961.2,82386.1,0.3,1.9,4.2,7.8,92.1304,43.3478,1995.04,44.9%,27.6%,46.0%,29:20,0.2,0.26087,0.3,0.304348,-5816.96,0.375,0.571429,0.571429,2791.5,16
RW,1.7,26.9%,1630,31.1,1612,3.30,1.4,8.8,17.8,20.6154,49190.5,49716,947.6,91328.2,0.3,1.4,2.5,8.6,100.538,43.9615,2006.39,32.5%,25.8%,42.4%,30:29,0.0833333,0.115385,0.166667,0.346154,-9981.77,0.285714,0.333333,0.4,332.625,17
